"Año","NOM_MUN","Localidad","Fuente.de.Abastecimiento","Coliformes.Totales..Ausencia.o.Presencia.100mL","E..Coli.Ausencia.o.Presencia.100mL","Arsenico.mg.L","Bario.mg.L","Cadmio..mg.L","Cobre.mg.L","Hierro..mg.L","Manganeso.mg.L","Plomo.mg.L","Zinc.mg.L","Cianuros..mg.L","Cloro.residual..mg.L","Cloruros..mg.L","Dureza.Total.mg.L","Fluoruros..mg.L","Nitratos.mg.L","Nitritos..mg.L","pH","SDT.mg.L","Sulfatos..mg.L","Cloro.Total..mg.L","Conductividad..µS.cm","Temperatura...C"
2016,"Mixquiahuala de Juárez","Molango","Piletas","Presencia","Presencia",0,"0.0","ND",0.02,0.02,"0.0","0.0",0.11,"0.0","0.04","2.7","213.33","0.0","1.0","0.004","8.01","82.3","24.0","0.0","225.0","22.1"
2016,"Molango de Escamilla","El Dothu","Tanque El Dothu","Presencia","Ausencia",0,"0.0","ND",0.4,0.04,"0.0","0.0",0.05,"0.003","0.0","4.9","130.02","0.2","0.6","0.004","8.2","111.6","10.3","0.0","276.0","20.5"
2016,"Molango de Escamilla","Maravillas","Pozo 125","Presencia","Ausencia",0,"0.0","ND",0.31,0,"0.0","0.0",0.06,"0.0","0.0","3.1","95.55","0.67","0.0","0.0","8.05","106.6","0.0","0.0","424.0","30.3"
2016,"Molango de Escamilla","Santa Cruz","Manantial Santa Cruz (El Zarco)","Presencia","Ausencia",0,"0.2","ND",0.3,0.02,"0.0","0.0",0.3,"0.006","0.1","6.9","136.61","0.3","0.3","0.002","8.11","236.7","8.1","0.2","259.0","24.8"
2016,"Nicolás Flores","Loma Del Progreso","Pozo El Zauz","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.06,"0.0","0.06","2.5","113.33","0.33","0.0","0.0","8.02","112.3","0.0","0.01","445.0","21.9"
2016,"Nicolás Flores","Omitlan De Juarez","Pozo El Sauz","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.05,"0.0","0.05","18.6","226.66","0.62","1.0","0.0","8.01","246.0","81.0","0.04","888.0","17.4"
2016,"Nopala de Villagrán","Mizquiapan","Manantial Mixquiapan","Presencia","Ausencia",0,"0.0","ND",0,0,"0.0","0.0",0.08,"0.0","0.01","1.4","55.55","0.3","0.0","0.0","8.4","11.4","0.0","0.0","41.2","16.4"
2016,"Nopala de Villagrán","Pacula","Cárcamo Santo Niño","Presencia","Presencia",0.01,"0.0","ND",0.3,0,"0.0","0.0",0.4,"0.003","0.1","60.2","97.77","0.0","1.0","0.01","8.02","174.0","69.1","0.1","458.0","29.1"
2016,"Omitlán de Juárez","Canoas","Cárcamo de Bombeo","Presencia","Presencia",0.01,"0.0","ND",0.1,0,"0.0","0.0",0.2,"0.002","0.1","50.9","110.11","0.0","0.5","0.0","6.98","198.0","70.8","0.1","455.0","22.7"
2016,"Omitlán de Juárez","Pisaflores","Manantial El Salto","Presencia","Presencia",0,"0.0","ND",0,0,"0.0","0.0",0.09,"0.0","0.0","7.6","211.1","0.23","1.1","0.004","7.76","169.4","7.0","0.0","343.0","28.4"
