"","NOM_MUN_ORIGINAL_MAL","datos_original_mal","datos_localidad_bien","NOM_MUN_LOCALIDAD_BIEN","CVEGEO","dist"
"162","Ixmiquilpan","13030_Barrio Fitzhi","13043_Barrio Alto","Nicolás Flores","1304300520043800",0.183694530443756
"163","Mineral del Chico","13038_Colonia Tenhe","13048_Colonia Del Valle","Pachuca de Soto","1304802480020800",0.186117467581999
"164","Agua Blanca de Iturbide","13004_Ajacuba","13042_Acayuca","Molango de Escamilla","1304200020012800",0.187179487179487
"165","Nicolás Flores","13043_Omitlan De Juarez","13043_Villa Juarez","Nicolás Flores","130430026001A800",0.190569645732689
"166","San Felipe Orizatlán","13046_Manzanas Iii","13015_Manzanitas","Cardonal","1301500720034800",0.193554131054131
"167","San Agustín Tlaxiaca","13052_San Agustin Tlaxiaca (Mexiquito)","13006_San Agustin Tlalixticapa","Alfajayucan","1300600280020800",0.194579397210976
"168","San Agustín Tlaxiaca","13052_San Agustin Tlaxiaca (Mexiquito)","13006_San Agustin Tlalixticapa","Alfajayucan","1300600280020800",0.194579397210976
"169","San Agustín Tlaxiaca","13052_San Agustin Tlaxiaca (Mexiquito)","13006_San Agustin Tlalixticapa","Alfajayucan","1300600280020800",0.194579397210976
"170","San Agustín Tlaxiaca","13052_San Agustin Tlaxiaca (Mexiquito)","13006_San Agustin Tlalixticapa","Alfajayucan","1300600280020800",0.194579397210976
"171","Pisaflores","13049_San Bartolo Tutotepec","13061_San Bartolome Tepetates","Tepeapulco","1306100140037800",0.195218468206974
"172","Mixquiahuala de Juárez","13041_Mixquiahuala  (Donfhi)","13047_Mixquiahuales","Pacula","1304700140023800",0.195488721804511
"173","Jacala de Ledezma","13031_Juarez","13043_Villa Juarez","Nicolás Flores","130430026001A800",0.202861952861953
"174","Jaltocán","13032_Juarez","13043_Villa Juarez","Nicolás Flores","130430026001A800",0.202861952861953
"175","Actopan","13003_Agua Blanca De Iturbide","13007_Agua Bendita","Almoloya","1300701790028800",0.205469160844414
"176","Actopan","13003_Agua Blanca De Iturbide","13007_Agua Bendita","Almoloya","1300701790028800",0.205469160844414
"177","Actopan","13003_Agua Blanca De Iturbide","13036_Agua Bendita","San Agustín Metzquititlán","1303600020034800",0.205469160844414
"178","Actopan","13003_Agua Blanca De Iturbide","13036_Agua Bendita","San Agustín Metzquititlán","1303600020034800",0.205469160844414
"179","Actopan","13003_Agua Blanca De Iturbide","13039_Agua Bendita","Mineral del Monte","1303900380017800",0.205469160844414
"180","Actopan","13003_Agua Blanca De Iturbide","13039_Agua Bendita","Mineral del Monte","1303900380017800",0.205469160844414
